Title,Signatures,Policy Areas
To amend the Federal Law Enforcement Officers Safety Act to include state and local Corrections Officers.,500,"Criminal Justice Reform, Homeland Security & Defense"
Do Not Marginalize The Public's Voice,500,"Civil Rights & Equality, Energy & Environment, Government & Regulatory Reform"
No National Monument Designations Without Congressional and State Support,449,"Energy & Environment, Government & Regulatory Reform"
The Democratic Primaries were rigged to benefit Hillary Clinton. She should no longer be considered a viable candidate.,439,Government & Regulatory Reform
"Justice for Muslims: Imam and Innocent Muslim Killed in Ozone Park, New York",436,"Civil Rights & Equality, Government & Regulatory Reform, Gun Violence"
A request for action by the Justice Department regarding Donald Trump advocating an armed action against Hillary Clinton,416,"Government & Regulatory Reform, Gun Violence, Homeland Security & Defense"
NO NATIONAL SECURITY BRIEFING FOR DONALD J. TRUMP!!!,414,"Foreign Policy, Government & Regulatory Reform, Homeland Security & Defense"
Amend PA HB 1198 - Vape Tax,389,"Budget & Taxes, Economy & Jobs"
PROTECTION FOR RESPONSIBLE CHRONIC PAIN PTS. & DOCTORS WHO REQUIRE USE OF OPIOID MEDICINES FOR CHRONIC NON-CANCER PAIN,389,"Civil Rights & Equality, Government & Regulatory Reform, Health Care"
WE Demand Special Prosecutors For Potential Crimes Involving Or Related To Secretary Of State Hillary Clinton,368,"Civil Rights & Equality, Foreign Policy, Government & Regulatory Reform"
American Legion Girls and Boys Nation 2016 Participants Deserve their Presidential Visit and Photo Op.,358,"Education, Veterans & Military"
Grant Sami Kazikhani - An Afghan Translator Threatened By The Taliban - Immediate Entry Into The United States,353,"Foreign Policy, Immigration, Veterans & Military"
No National Monument Designation for the Bears Ears Region in South Eastern Utah,333,"Energy & Environment, Government & Regulatory Reform, Rural Policy"
Petition To Put a Harambe Statute In Front of the White House,325,Civil Rights & Equality
Investigate the Democratic National Convention for violation of 8 USC 1324,309,"Government & Regulatory Reform, Homeland Security & Defense, Immigration"
All viable presidential candidates are allowed to debate  with candidates from major parties.,298,"Civil Rights & Equality, Education, Government & Regulatory Reform"
Keep the ban on police departments receiving surplus military equipment from the Pentagon,297,"Civil Rights & Equality, Criminal Justice Reform"
We The People call for 100% paper ballots. Electronic voter machines have been proven non-secure.,259,"Civil Rights & Equality, Government & Regulatory Reform, Homeland Security & Defense"
Repeal the Massachusetts state ban on &quot;assault weapons&quot;,240,"Government & Regulatory Reform, Gun Violence"
Petition for Obama to Ensure Abortion Services for Girls and Women Raped in War,236,"Civil Rights & Equality, Foreign Policy, Government & Regulatory Reform"
Require that all states have the same candidates for President on their respective ballots,227,"Civil Rights & Equality, Government & Regulatory Reform"
"Obama, Dept. of Justice & Congress: Investigate Donald J. Trump for Sedition and Treason for Russian hacking request.",225,"Foreign Policy, Homeland Security & Defense"
Trump's security briefings must be withheld until it can be clearly determined he is not a national security risk.,223,Homeland Security & Defense
declare the Cincinnati Zoo a terrorist organization for killing Harambe,220,Civil Rights & Equality
Elimination of the electronic voting machines nation wide,215,"Civil Rights & Equality, Government & Regulatory Reform, Technology & Innovation"
The African/African American - Voice of Freedom Proclamation,205,Civil Rights & Equality
"The President Tsai of Taiwan, Republic of China, should be recalled.",203,Foreign Policy
Address Fraud and Corruption in the Democratic Party,201,Government & Regulatory Reform
Hillary Clinton needs to concede and suspend her campaign due to the severely biased actions of the DNC for her benefit,196,Government & Regulatory Reform
Saving our  Wildlife and Wilderness !,190,Energy & Environment
No presidential intelligence briefings to candidates who have not released their tax returns for the last 10 years.,179,"Budget & Taxes, Government & Regulatory Reform, Homeland Security & Defense"
We the people of the United States want to give President Obama a (non-creepy) thank you hug before he leaves office.,177,"Civil Rights & Equality, Economy & Jobs, Health Care"
Celebrate and Honor the &quot;Greatest of All Time&quot; with a Commemorative MUHAMMAD ALI Coin,168,"Civil Rights & Equality, Education"
Plea for USAG to support catastrophically injured Army SGM Jeremy Bruns and wife Jenny as Friend of NC Supreme Court,165,"Civil Rights & Equality, Veterans & Military"
STOP federal fumigation of Miami citizens with pesticide Naled as effort to combat Zika virus,165,"Civil Rights & Equality, Economy & Jobs, Energy & Environment"
